        infile    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_15b1_100L5000g500B625_2500    m100M4l0.1_45b1_100L5000g500B625_2500    m100M4l0.1_25b1_100L5000g500B625_2500    m100M4l0.1_55b1_100L5000g500B625_2500    m100M4l0.1_85b1_100L5000g500B625_2500    m100M4l0.1_35b1_100L5000g500B625_2500    m100M4l0.1_95b1_100L5000g500B625_2500    m100M4l0.1_65b1_100L5000g500B625_2500    m100M4l0.1_75b1_10L5000g500B62_250    m100M4l0.1_75b1_5L5000g500B31_125    m100M4l0.1_75b1_50L5000g500B312_1250    m100M4l0.1_75b1_25L5000g500B156_625    m150M4l0.1_75b1_100L5000g500B625_2500    m200M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_1L5000g500B12_50    m100M4l0.1_75b1_100L5000g100B625_2500    m200M4l0.1_75b1_100L5000g500B1250_5000    m100M4l0.1_75b1_100L5000g50B625_2500    m100M4l0.1_75b1_100L5000g10B625_2500    m100M4l0.1_75b1_100L7500g500B625_2500    m100M4l0.1_75b1_1L5000g500B12_50    m100M4l0.1_75b1_100L500g500B625_2500    m100M4l0.1_75b1_100L2500g500B625_2500    m100M8l0.1_75b1_100L5000g500B312_1250    m100M16l0.1_75b1_100L5000g500B156_625    m100M2l0.1_75b1_100L5000g500B1250_5000    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_100L5000g500B625_2500
      %simperr &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
      norm_ave &                                    455 &                                    437 &                                    593 &                                    424 &                                    595 &                                    288 &                                    505 &                                    505 &                                    549 &                                 489 &                                462 &                                   363 &                                  291 &                                    489 &                                    578 &                               395 &                                    452 &                                     599 &                                   392 &                                   379 &                                    373 &                               474 &                                   432 &                                    444 &                                    233 &                                    300 &                                     452 &                                    451 &                                    453 &                                    452
   %withcycles &                                   0.05 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0.05 &                                      0 &                                  0.125 &                                   0.15 &                                   0 &                                  0 &                                  0.05 &                                    0 &                                  0.105 &                                  0.263 &                                 0 &                                    0.5 &                                    0.25 &                                  0.35 &                                  0.75 &                                    0.1 &                                 0 &                                 0.118 &                                  0.158 &                                   0.05 &                                   0.15 &                                    0.15 &                                   0.05 &                                   0.05 &                                   0.05
       %Domin1 &                                  0.179 &                                  0.591 &                                  0.688 &                                  0.725 &                                  0.582 &                                  0.103 &                                  0.778 &                                 0.0796 &                                  0.246 &                               0.204 &                              0.152 &                                 0.143 &                                0.156 &                                  0.147 &                                  0.277 &                             0.361 &                                  0.108 &                                   0.319 &                                 0.101 &                                 0.125 &                                  0.327 &                             0.314 &                                 0.116 &                                 0.0976 &                                  0.293 &                                   0.22 &                                    0.12 &                                  0.145 &                                  0.133 &                                  0.233
       %Domin2 &                                  0.733 &                                  0.943 &                                  0.974 &                                  0.955 &                                  0.964 &                                  0.507 &                                  0.995 &                                  0.196 &                                  0.918 &                               0.849 &                              0.704 &                                 0.861 &                                0.799 &                                  0.858 &                                  0.773 &                              0.61 &                                  0.822 &                                   0.837 &                                 0.885 &                                  0.78 &                                  0.897 &                             0.728 &                                 0.865 &                                  0.819 &                                  0.898 &                                  0.785 &                                    0.88 &                                  0.701 &                                  0.697 &                                  0.753
   %b&b-breaks &                                  0.289 &                                   0.64 &                                  0.815 &                                  0.733 &                                    0.6 &                                  0.104 &                                   0.75 &                                 0.0209 &                                  0.243 &                               0.182 &                              0.146 &                                   0.3 &                                0.314 &                                   0.33 &                                 0.0767 &                            0.0383 &                                  0.163 &                                   0.219 &                                 0.246 &                                0.0931 &                                  0.251 &                            0.0548 &                                 0.251 &                                  0.324 &                                   0.17 &                                 0.0316 &                                   0.474 &                                  0.294 &                                  0.292 &                                  0.292
          snrp &                                 0.0526 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0.15 &                                      0 &                                 0.0667 &                                      0 &                                   0 &                                  0 &                                0.0556 &                                    0 &                                      0 &                                      0 &                            0.0625 &                                  0.333 &                                       0 &                                 0.143 &                                  3.17 &                                      0 &                                 0 &                                 0.286 &                                      0 &                                   0.05 &                                      0 &                                       0 &                                 0.0526 &                                 0.0526 &                                 0.0526
          tnrp &                                      3 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      3 &                                      2 &                                 1.5 &                                  1 &                                     1 &                                  1.5 &                                    1.6 &                                    1.6 &                                 1 &                                   1.36 &                                       1 &                                  3.23 &                                  14.4 &                                      0 &                              1.14 &                                     1 &                                      2 &                                      0 &                                      1 &                                       1 &                                      3 &                                      3 &                                      3
          anrp &                                    0.2 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0.15 &                                      0 &                                   0.25 &                                    0.1 &                                0.15 &                                0.2 &                                  0.15 &                                 0.15 &                                  0.421 &                                  0.421 &                               0.4 &                                      1 &                                     0.4 &                                  2.25 &                                  11.4 &                                      0 &                               0.5 &                                 0.412 &                                  0.316 &                                   0.05 &                                    0.1 &                                     0.1 &                                    0.2 &                                    0.2 &                                    0.2
         snrpm &                                      1 &                                      0 &                                      0 &                                      0 &                                      0 &                                      2 &                                      0 &                                      1 &                                      0 &                                   0 &                                  0 &                                     1 &                                    0 &                                      0 &                                      0 &                                 1 &                                      2 &                                       0 &                                     1 &                                    12 &                                      0 &                                 0 &                                     2 &                                      0 &                                      1 &                                      0 &                                       0 &                                      1 &                                      1 &                                      1
