        infile    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_15b1_100L5000g500B625_2500    m100M4l0.1_45b1_100L5000g500B625_2500    m100M4l0.1_25b1_100L5000g500B625_2500    m100M4l0.1_55b1_100L5000g500B625_2500    m100M4l0.1_85b1_100L5000g500B625_2500    m100M4l0.1_35b1_100L5000g500B625_2500    m100M4l0.1_95b1_100L5000g500B625_2500    m100M4l0.1_65b1_100L5000g500B625_2500    m100M4l0.1_75b1_10L5000g500B62_250    m100M4l0.1_75b1_5L5000g500B31_125    m100M4l0.1_75b1_50L5000g500B312_1250    m100M4l0.1_75b1_25L5000g500B156_625    m150M4l0.1_75b1_100L5000g500B625_2500    m200M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_1L5000g500B12_50    m100M4l0.1_75b1_100L5000g100B625_2500    m200M4l0.1_75b1_100L5000g500B1250_5000    m100M4l0.1_75b1_100L5000g50B625_2500    m100M4l0.1_75b1_100L5000g10B625_2500    m100M4l0.1_75b1_100L7500g500B625_2500    m100M4l0.1_75b1_1L5000g500B12_50    m100M4l0.1_75b1_100L500g500B625_2500    m100M4l0.1_75b1_100L2500g500B625_2500    m100M8l0.1_75b1_100L5000g500B312_1250    m100M16l0.1_75b1_100L5000g500B156_625    m100M2l0.1_75b1_100L5000g500B1250_5000    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_100L5000g500B625_2500    m100M4l0.1_75b1_100L5000g500B625_2500
           0.5 &                                    0.8 &                                    0.2 &                                    0.2 &                                   0.05 &                                    0.5 &                                    0.7 &                                   0.05 &                                  0.688 &                                   0.85 &                                0.65 &                                0.8 &                                  0.65 &                                 0.75 &                                  0.842 &                                  0.789 &                              0.85 &                                      1 &                                    0.95 &                                     1 &                                     1 &                                    0.9 &                              0.85 &                                     1 &                                  0.895 &                                   0.85 &                                   0.55 &                                     0.9 &                                    0.8 &                                    0.7 &                                    0.8
          1.25 &                                    0.8 &                                    0.2 &                                    0.2 &                                   0.05 &                                    0.5 &                                    0.7 &                                   0.05 &                                    0.5 &                                   0.85 &                                0.65 &                                0.8 &                                  0.65 &                                 0.75 &                                  0.842 &                                  0.789 &                              0.85 &                                      1 &                                    0.95 &                                     1 &                                     1 &                                    0.9 &                              0.85 &                                     1 &                                  0.895 &                                   0.85 &                                   0.55 &                                     0.9 &                                    0.8 &                                    0.7 &                                    0.8
         2.375 &                                    0.8 &                                    0.2 &                                    0.2 &                                   0.05 &                                    0.5 &                                   0.65 &                                   0.05 &                                  0.438 &                                   0.85 &                                0.65 &                                0.8 &                                  0.65 &                                 0.75 &                                  0.842 &                                  0.789 &                              0.85 &                                      1 &                                    0.95 &                                  0.95 &                                     1 &                                    0.9 &                              0.85 &                                 0.765 &                                  0.842 &                                   0.85 &                                   0.55 &                                    0.85 &                                    0.8 &                                    0.7 &                                    0.8
        4.0625 &                                   0.75 &                                    0.2 &                                    0.2 &                                   0.05 &                                    0.5 &                                    0.5 &                                   0.05 &                                  0.312 &                                   0.85 &                                0.65 &                                0.8 &                                  0.65 &                                 0.75 &                                  0.842 &                                  0.789 &                              0.85 &                                      1 &                                    0.95 &                                  0.95 &                                     1 &                                    0.8 &                              0.85 &                                 0.706 &                                  0.789 &                                   0.85 &                                   0.45 &                                    0.85 &                                   0.75 &                                   0.65 &                                    0.7
       6.59375 &                                    0.7 &                                    0.2 &                                    0.2 &                                   0.05 &                                    0.5 &                                    0.4 &                                   0.05 &                                   0.25 &                                    0.8 &                                0.65 &                                0.8 &                                  0.65 &                                  0.6 &                                  0.842 &                                  0.789 &                               0.8 &                                   0.95 &                                    0.95 &                                  0.95 &                                     1 &                                    0.8 &                              0.85 &                                 0.647 &                                  0.684 &                                   0.75 &                                   0.45 &                                    0.85 &                                   0.65 &                                   0.65 &                                    0.7
       10.3906 &                                   0.45 &                                   0.15 &                                    0.2 &                                   0.05 &                                    0.5 &                                   0.35 &                                   0.05 &                                  0.188 &                                   0.75 &                                0.65 &                               0.75 &                                  0.65 &                                  0.6 &                                  0.842 &                                  0.789 &                              0.75 &                                   0.95 &                                    0.95 &                                  0.95 &                                     1 &                                    0.6 &                              0.85 &                                 0.529 &                                  0.579 &                                    0.6 &                                   0.45 &                                    0.65 &                                   0.55 &                                    0.5 &                                   0.45
       16.0859 &                                   0.45 &                                   0.05 &                                    0.2 &                                   0.05 &                                    0.4 &                                    0.3 &                                   0.05 &                                  0.188 &                                    0.7 &                                0.55 &                               0.75 &                                   0.5 &                                 0.55 &                                  0.737 &                                  0.789 &                              0.65 &                                    0.9 &                                     0.9 &                                   0.9 &                                     1 &                                    0.5 &                              0.85 &                                 0.471 &                                  0.579 &                                   0.45 &                                   0.35 &                                     0.6 &                                    0.4 &                                    0.4 &                                   0.45
       24.6289 &                                   0.35 &                                   0.05 &                                    0.2 &                                   0.05 &                                    0.4 &                                   0.25 &                                   0.05 &                                  0.188 &                                    0.6 &                                0.55 &                                0.7 &                                  0.45 &                                  0.4 &                                  0.737 &                                  0.789 &                               0.6 &                                    0.9 &                                     0.9 &                                  0.85 &                                     1 &                                    0.4 &                              0.85 &                                 0.471 &                                  0.526 &                                    0.4 &                                   0.25 &                                    0.55 &                                    0.3 &                                    0.4 &                                    0.4
       37.4434 &                                   0.25 &                                   0.05 &                                    0.1 &                                   0.05 &                                   0.35 &                                    0.2 &                                      0 &                                  0.188 &                                    0.5 &                                 0.5 &                                0.6 &                                  0.25 &                                  0.4 &                                  0.737 &                                  0.737 &                              0.45 &                                    0.9 &                                     0.8 &                                  0.85 &                                     1 &                                   0.35 &                              0.85 &                                 0.471 &                                  0.474 &                                    0.3 &                                    0.2 &                                     0.5 &                                   0.25 &                                    0.3 &                                    0.3
        56.665 &                                    0.2 &                                   0.05 &                                    0.1 &                                   0.05 &                                   0.25 &                                    0.2 &                                      0 &                                  0.188 &                                    0.5 &                                0.45 &                               0.55 &                                  0.25 &                                 0.35 &                                  0.684 &                                  0.684 &                              0.45 &                                    0.9 &                                    0.75 &                                  0.85 &                                     1 &                                    0.2 &                              0.85 &                                 0.412 &                                  0.368 &                                    0.3 &                                    0.2 &                                     0.5 &                                   0.15 &                                   0.15 &                                   0.25
       85.4976 &                                    0.1 &                                   0.05 &                                   0.05 &                                   0.05 &                                   0.15 &                                   0.15 &                                      0 &                                 0.0625 &                                    0.4 &                                0.35 &                               0.55 &                                  0.15 &                                 0.25 &                                  0.684 &                                  0.684 &                               0.4 &                                    0.9 &                                     0.6 &                                  0.85 &                                  0.95 &                                   0.15 &                              0.75 &                                 0.353 &                                  0.316 &                                   0.25 &                                    0.2 &                                    0.45 &                                   0.05 &                                   0.05 &                                   0.15
       128.746 &                                   0.05 &                                   0.05 &                                   0.05 &                                   0.05 &                                   0.05 &                                   0.15 &                                      0 &                                 0.0625 &                                    0.3 &                                0.25 &                               0.45 &                                  0.15 &                                 0.15 &                                  0.684 &                                  0.579 &                              0.35 &                                    0.9 &                                     0.6 &                                  0.85 &                                  0.85 &                                   0.05 &                              0.65 &                                 0.353 &                                  0.316 &                                    0.2 &                                    0.2 &                                     0.4 &                                   0.05 &                                   0.05 &                                   0.05
        193.62 &                                   0.05 &                                   0.05 &                                   0.05 &                                      0 &                                   0.05 &                                   0.15 &                                      0 &                                 0.0625 &                                   0.25 &                                0.25 &                               0.35 &                                  0.15 &                                 0.15 &                                  0.579 &                                  0.526 &                               0.3 &                                   0.85 &                                    0.55 &                                   0.8 &                                  0.75 &                                   0.05 &                              0.55 &                                 0.235 &                                  0.316 &                                   0.05 &                                    0.1 &                                     0.3 &                                   0.05 &                                   0.05 &                                   0.05
       290.929 &                                   0.05 &                                      0 &                                   0.05 &                                      0 &                                   0.05 &                                   0.15 &                                      0 &                                 0.0625 &                                    0.2 &                                 0.2 &                                0.3 &                                  0.15 &                                 0.15 &                                  0.526 &                                  0.421 &                              0.25 &                                    0.8 &                                     0.5 &                                   0.8 &                                  0.75 &                                   0.05 &                               0.4 &                                 0.235 &                                  0.263 &                                      0 &                                    0.1 &                                    0.25 &                                   0.05 &                                   0.05 &                                   0.05
       436.894 &                                   0.05 &                                      0 &                                      0 &                                      0 &                                   0.05 &                                    0.1 &                                      0 &                                 0.0625 &                                    0.2 &                                0.15 &                               0.25 &                                  0.15 &                                 0.15 &                                  0.474 &                                  0.368 &                              0.15 &                                   0.75 &                                     0.4 &                                  0.75 &                                  0.75 &                                   0.05 &                               0.4 &                                 0.235 &                                  0.263 &                                      0 &                                    0.1 &                                     0.2 &                                   0.05 &                                   0.05 &                                   0.05
       655.841 &                                   0.05 &                                      0 &                                      0 &                                      0 &                                   0.05 &                                    0.1 &                                      0 &                                 0.0625 &                                   0.05 &                                 0.1 &                                0.2 &                                  0.15 &                                 0.15 &                                  0.421 &                                  0.368 &                              0.15 &                                   0.65 &                                     0.4 &                                   0.7 &                                  0.75 &                                      0 &                              0.35 &                                 0.235 &                                  0.263 &                                      0 &                                    0.1 &                                     0.2 &                                   0.05 &                                   0.05 &                                   0.05
       984.261 &                                   0.05 &                                      0 &                                      0 &                                      0 &                                   0.05 &                                    0.1 &                                      0 &                                 0.0625 &                                   0.05 &                                 0.1 &                                0.2 &                                  0.15 &                                  0.1 &                                  0.421 &                                  0.316 &                               0.1 &                                    0.6 &                                     0.4 &                                   0.7 &                                  0.75 &                                      0 &                              0.35 &                                 0.176 &                                  0.263 &                                      0 &                                    0.1 &                                    0.15 &                                   0.05 &                                   0.05 &                                   0.05
       1476.89 &                                   0.05 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0.05 &                                      0 &                                 0.0625 &                                   0.05 &                                 0.1 &                                0.2 &                                   0.1 &                                  0.1 &                                  0.368 &                                  0.316 &                              0.05 &                                    0.6 &                                     0.4 &                                  0.65 &                                   0.7 &                                      0 &                              0.35 &                                 0.176 &                                  0.158 &                                      0 &                                    0.1 &                                    0.15 &                                   0.05 &                                   0.05 &                                   0.05
       2215.84 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                              0.15 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       3324.26 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                               0.1 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       4986.89 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       7480.83 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       11221.7 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       16833.1 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       25250.2 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       37875.8 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       56814.1 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
       85221.7 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
        127833 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
        191750 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
        287626 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                      0 &                                   0 &                                  0 &                                     0 &                                    0 &                                      0 &                                      0 &                                 0 &                                      0 &                                       0 &                                     0 &                                     0 &                                      0 &                                 0 &                                     0 &                                      0 &                                      0 &                                      0 &                                       0 &                                      0 &                                      0 &                                      0
    nnrp/nadm: &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                     -1 &                                  -1 &                                 -1 &                                    -1 &                                   -1 &                                     -1 &                                     -1 &                                -1 &                                     -1 &                                      -1 &                                    -1 &                                    -1 &                                     -1 &                                -1 &                                    -1 &                                     -1 &                                     -1 &                                     -1 &                                      -1 &                                     -1 &                                     -1 &                                     -1
             0 &                                   2.05 &                                    0.2 &                                   0.25 &                                   0.05 &                                      1 &                                   3.05 &                                   0.05 &                                   1.56 &                                    2.8 &                                1.95 &                                2.6 &                                  1.55 &                                  2.1 &                                   3.95 &                                   3.63 &                               1.7 &                                   14.9 &                                    2.95 &                                  40.2 &                                   187 &                                   3.95 &                               1.7 &                                  2.71 &                                      3 &                                    1.2 &                                    1.1 &                                       4 &                                   1.75 &                                   1.55 &                                    2.1
           0.5 &                                   2.05 &                                    0.2 &                                   0.25 &                                   0.05 &                                      1 &                                   3.05 &                                   0.05 &                                   1.56 &                                    2.8 &                                1.95 &                                2.6 &                                  1.55 &                                  2.1 &                                   3.95 &                                   3.63 &                               1.7 &                                   14.9 &                                    2.95 &                                  40.2 &                                   187 &                                   3.95 &                               1.7 &                                  2.71 &                                      3 &                                    1.2 &                                    1.1 &                                       4 &                                   1.75 &                                   1.55 &                                    2.1
          1.25 &                                   2.05 &                                    0.2 &                                   0.25 &                                   0.05 &                                      1 &                                   3.05 &                                   0.05 &                                   1.25 &                                    2.8 &                                1.95 &                                2.6 &                                  1.55 &                                  2.1 &                                   3.95 &                                   3.63 &                               1.7 &                                   14.9 &                                    2.95 &                                  40.2 &                                   187 &                                   3.95 &                               1.7 &                                  2.71 &                                      3 &                                    1.2 &                                    1.1 &                                       4 &                                   1.75 &                                   1.55 &                                    2.1
         2.375 &                                    1.8 &                                    0.2 &                                   0.25 &                                   0.05 &                                      1 &                                    2.3 &                                   0.05 &                                   1.06 &                                    2.8 &                                1.95 &                                2.6 &                                  1.35 &                                  2.1 &                                   3.95 &                                   3.63 &                               1.7 &                                   14.1 &                                    2.95 &                                  35.3 &                                   172 &                                    3.7 &                               1.7 &                                  1.94 &                                   2.79 &                                   1.15 &                                    0.7 &                                     3.9 &                                    1.7 &                                   1.55 &                                    1.8
        4.0625 &                                   1.55 &                                    0.2 &                                   0.25 &                                   0.05 &                                      1 &                                   1.65 &                                   0.05 &                                  0.438 &                                    2.8 &                                1.75 &                               2.55 &                                  1.35 &                                  1.8 &                                   3.95 &                                   3.63 &                               1.7 &                                   12.9 &                                    2.95 &                                  32.2 &                                   133 &                                   2.55 &                               1.7 &                                  1.82 &                                   1.74 &                                   1.05 &                                    0.6 &                                     3.4 &                                    1.4 &                                   1.25 &                                    1.4
